document_id,title,document_type,authority,country,jurisdiction,legal_domain,sub_domain,source_tier,publication_date,effective_date,last_updated,version,status,language,file_format,official_url,download_url,source_page_url,file_size_if_available,ocr_required,supersedes,superseded_by,related_documents,keywords,relevance_to_IP_SAKTI,authority_level,citation_identifier,notes
NAT-PA-005,Guidelines for Search and Examination of Patent Applications,Guidelines,IP India,India,National,Patents,Patent Examination Procedure,B,null,null,null,null,UNKNOWN,English,PDF,https://ipindia.gov.in/storage/uploads/docs-operator/e23412b4-6beb-4a55-a7ae-276aaed28eaf.pdf,https://ipindia.gov.in/storage/uploads/docs-operator/e23412b4-6beb-4a55-a7ae-276aaed28eaf.pdf,https://ipindia.gov.in/storage/uploads/docs-operator/e23412b4-6beb-4a55-a7ae-276aaed28eaf.pdf,null,true,null,null,"NAT-PA-001, NAT-PA-002, NAT-PA-003","AI guidelines, traditional knowledge, examination procedure","Includes AI-related examination guidelines and TK considerations",Administrative Guidance - National Authority,IP India Examination Guidelines,"VERIFICATION REQUIRED: Publication date and version not verified; likely recent update; verify official release date"
NAT-TK-001,Traditional Knowledge Digital Library (TKDL) — Official Information,Database/Repository,CSIR-TKDL Unit,India,National,Traditional Knowledge,Prior Art Documentation,A,2001,2001,2026,Current,CURRENT,"Multiple (English, Hindi, and traditional languages)",HTML/Database,https://www.csir.res.in/en/documents/tkdl,http://164.100.114.221/web/?lang=en,https://www.csir.res.in/en/documents/tkdl,null,false,null,null,"NAT-PA-001, NAT-TK-002","TKDL, prior art, ISM formulations, patent search, traditional knowledge","CRITICAL: Primary prior-art database for AYUSH formulations; contains ~448,764 ISM formulations; essential for prior-art search before patent filing",Official Repository - National Authority,TKDL CSIR,"Access restricted to patent offices via NDA; not publicly downloadable; access must be requested through authorized channels; critical for determining patentability of traditional formulations"
NAT-TK-002,Guidelines for Examination of Ayush-Related Inventions,Guidelines,CGPDTM / Ministry of AYUSH,India,National,Patents / Traditional Knowledge,AYUSH Patent Examination,B,null,null,null,null,UNKNOWN,English,PDF,null,null,null,null,false,null,null,"NAT-PA-001, NAT-PA-003, NAT-TK-001","AYUSH examination, traditional knowledge, CGPDTM guidelines","Guidelines for patent examination of AYUSH inventions; addresses traditional knowledge considerations",Administrative Guidance - Proposed,AYUSH Patent Guidelines,"VERIFICATION REQUIRED: Mentioned in PIB releases (PRID 2241127) but official URL not available; need to locate published version; status appears to be under development"
NAT-BD-001,"The Biological Diversity Act, 2002 (Act No. 18 of 2003)",Act,"Ministry of Law and Justice (India Code)",India,National,Biodiversity / ABS,Biological Resource Access and IP Protection,A,2003-02-05,2003-02-05,2023,Consolidated (amended up to Act 10 of 2023),AMENDED,English,PDF,https://www.indiacode.nic.in/handle/123456789/2046,https://www.indiacode.nic.in/bitstream/123456789/21545/1/the_biological_diversity_act,2002.pdf,https://www.indiacode.nic.in/handle/123456789/2046,null,false,null,null,"NAT-BD-002, NAT-BD-003","Biological Diversity Act, NBA approval, biological resources, ABS, IP protection, medicinal plants","CRITICAL: Sections 3, 4, 6 require NBA approval for biological resource access and IPR applications; mandatory for AYUSH formulations using biodiversity resources",Primary Legislation - National,Act 18 of 2003,Amended 2023; essential for understanding biological resource access requirements and IP protection constraints
NAT-BD-002,The Biological Diversity Rules 2004,Rules,National Biodiversity Authority,India,National,Biodiversity / ABS,ABS Procedure and Applications,A,2004-04-15,2004-04-15,2004,2004 Edition,CURRENT,English,PDF,http://nbaindia.org/uploaded/act/BDACT_ENG.pdf,http://nbaindia.org/uploaded/docs/bulletin11-salientfeatures.pdf,http://nbaindia.org/uploaded/act/BDACT_ENG.pdf,null,true,null,null,"NAT-BD-001, NAT-BD-003","Biological Diversity Rules, NBA procedure, ABS applications, forms, fees, biodiversity resources","Procedural rules for NBA approval process; specifies forms, fees, and approval timeline for biological resource access",Secondary Legislation - National Authority,Biological Diversity Rules 2004,"Scanned PDF; OCR may be needed for full text extraction; contains critical procedural requirements for ABS applications"
NAT-BD-003,Salient Features of Biological Diversity Act 2002,Explanatory Document,National Biodiversity Authority,India,National,Biodiversity / ABS,ABS Guidance and Interpretation,C,null,null,null,null,CURRENT,English,PDF,http://nbaindia.org/uploaded/docs/bulletin11-salientfeatures.pdf,http://nbaindia.org/uploaded/docs/bulletin11-salientfeatures.pdf,http://nbaindia.org/uploaded/docs/bulletin11-salientfeatures.pdf,null,true,null,null,"NAT-BD-001, NAT-BD-002","Biological Diversity, NBA, salient features, explanatory summary","Summary document; useful for context understanding but not primary authority",Administrative Guidance - National Authority,NBA Salient Features,Use for context and interpretation only; not primary source; scanned PDF; OCR may be helpful
NAT-FS-001,"The Food Safety and Standards Act, 2006 (Act No. 34 of 2006)",Act,FSSAI / Ministry of Law and Justice,India,National,Food Regulation,Food Classification and Safety,A,2006-08-23,2006-08-23,2006,Consolidated,CURRENT,English,PDF,https://fssai.gov.in/cms/act-2006.php,https://jaivikbharat.fssai.gov.in/pdf/food-act.pdf,https://fssai.gov.in/cms/act-2006.php,null,false,null,null,"NAT-FS-002, NAT-DC-001","FSSAI, food regulation, Ayurveda Aahara, food safety standards","CRITICAL: Core food legislation; determines whether product falls under food vs drug classification; Section on Ayurveda Aahara enables separate food-based classification for AYUSH products",Primary Legislation - National,Act 34 of 2006,Enables FSSAI to make regulations including Ayurveda Aahara category; essential for classification boundary analysis
NAT-FS-002,"Food Safety and Standards (Prohibition and Restriction on Use of Certain Substances) Regulations, 2024",Regulations,FSSAI,India,National,Food Regulation,Food Ingredients and Additives,A,2024,2024,2024,2024 Edition,CURRENT,English,PDF,https://fssai.gov.in/cms/regulations.php,null,https://fssai.gov.in/cms/regulations.php,null,false,null,null,NAT-FS-001,"FSSAI regulations, prohibited substances, food ingredients, safety standards","Defines permissible and prohibited ingredients in food products; relevant for determining regulatory approval pathway",Secondary Legislation - National Authority,FSSAI Prohibition and Restriction Regulations 2024,Regularly updated with new ingredient restrictions and safety standards
NAT-CS-001,The Cosmetics Rules 2020 (G.S.R. 763(E)),Rules,CDSCO / Ministry of Health,India,National,Cosmetics,Cosmetics Manufacture and Labelling,A,2020-12-15,2020-12-15,2020,2020 Edition,CURRENT,English,PDF,https://cdsco.gov.in/opencms/opencms/en/Acts-Rules/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2022/cos_rules/Cosmetics%20Rules%202020.pdf,https://cdsco.gov.in/opencms/opencms/en/Acts-Rules/,null,false,null,null,"NAT-DC-001, NAT-DC-002","Cosmetics rules, herbal cosmetics, Ayurvedic cosmetics, manufacture, labelling, import","Separate regulations for cosmetics (vs drugs); governs herbal/Ayurvedic cosmetics classification and requirements",Secondary Legislation - National,Cosmetics Rules 2020 (G.S.R. 763(E)),Separate from Drugs Rules; critical for classifying products as cosmetics vs drugs
NAT-TM-001,"The Trade Marks Act, 1999 (Act No. 47 of 1999)",Act,"Ministry of Law and Justice (India Code)",India,National,Trademarks,Trademark Registration and Protection,A,1999-12-30,1999-12-30,2023,Consolidated (amended up to Act 7 of 2017),CURRENT,English,PDF,https://www.indiacode.nic.in/handle/123456789/1993,https://www.indiacode.nic.in/bitstream/123456789/1993/1/a199947.pdf,https://www.indiacode.nic.in/handle/123456789/1993,null,false,null,null,NAT-TM-002,Trademark registration, brand protection, goods and services classification,Core trademark legislation; enables brand protection for AYUSH products and medicines,Primary Legislation - National,Act 47 of 1999,Core IP legislation for trademark protection
NAT-TM-002,The Trade Marks Rules 2017,Rules,IP India,India,National,Trademarks,Trademark Procedure and Registration,A,2017,2017,2017,2017 Edition,CURRENT,English,PDF,https://ipindia.gov.in/tm-rules-2017,https://ipindia.gov.in/frontend/pdf/trade-mark/act/1_69_1_Trade_Marks_Rules_2017.pdf,https://ipindia.gov.in/tm-rules-2017,null,false,null,null,NAT-TM-001,"Trademark rules, procedural rules, forms, fees, trademark registration",Procedural rules for trademark registration and protection,Secondary Legislation - National,Trade Marks Rules 2017,Supersedes 2002 Rules; current procedural framework
NAT-GI-001,"The Geographical Indications of Goods (Registration and Protection) Act, 1999 (Act No. 48 of 1999)",Act,"Ministry of Law and Justice (India Code)",India,National,Geographical Indications,GI Registration and Protection,A,1999-12-30,1999-12-30,2023,Consolidated (amended up to Act 18 of 2023),CURRENT,English,PDF,https://www.indiacode.nic.in/handle/123456789/1981,https://www.indiacode.nic.in/bitstream/123456789/1981/5/A1999-48.pdf,https://www.indiacode.nic.in/handle/123456789/1981,null,false,null,null,NAT-GI-002,"Geographical Indications, GI registration, regional products, traditional knowledge, Ayurvedic products","CRITICAL: Enables GI protection for region-specific AYUSH products (e.g., Himalayan herbs, region-specific formulations); protects traditional knowledge at regional level",Primary Legislation - National,Act 48 of 1999,Includes Ayurvedic products and traditional medicines; valuable for protecting region-specific formulations and heritage products
NAT-GI-002,"The Geographical Indications of Goods (Registration and Protection) Rules, 2002",Rules,IP India,India,National,Geographical Indications,GI Registration Procedure,A,2002-03-08,2002-03-08,2002,2002 Edition,CURRENT,English,PDF,https://ipindia.gov.in/geographical-indications-resources-act,https://faolex.fao.org/docs/pdf/ind183134.pdf,https://ipindia.gov.in/geographical-indications-resources-act,null,true,null,null,NAT-GI-001,"GI rules, GI registration, procedural rules, forms, fees","Procedural rules for GI registration; enables protection of traditional AYUSH products with regional identity",Secondary Legislation - National,GI Rules 2002,Verify official IP India URL; FAO-LEX mirror used for verification
NAT-CR-001,"The Copyright Act, 1957 (Act No. 14 of 1957)",Act,"Ministry of Law and Justice (India Code)",India,National,Copyright,Copyright Protection and Traditional Cultural Expressions,A,1957-06-04,1957-06-04,1957,Consolidated,CURRENT,English,PDF,https://www.indiacode.nic.in/handle/123456789/1367,https://www.indiacode.nic.in/bitstream/123456789/15356/1/the_copyright_act,1957.pdf,https://www.indiacode.nic.in/handle/123456789/1367,null,false,null,null,NAT-CR-002,"Copyright, literary works, artistic works, traditional cultural expressions, TCE","Relevant for protecting traditional cultural expressions and literary works related to AYUSH; provides basis for TCE protection",Primary Legislation - National,Act 14 of 1957,Core copyright legislation; relevant for protecting traditional knowledge in textual/artistic forms
NAT-CR-002,The Copyright Rules 2013,Rules,Copyright Office / Ministry of Education,India,National,Copyright,Copyright Registration and Procedure,A,2013-03-14,2013-03-14,2013,2013 Edition,CURRENT,English,PDF,https://copyright.gov.in/Documents/Copyright_Rules_2013_and_Forms.pdf,https://copyright.gov.in/Documents/Copyright_Rules_2013_and_Forms.pdf,https://copyright.gov.in/Documents/Copyright_Rules_2013_and_Forms.pdf,null,false,null,null,NAT-CR-001,"Copyright rules, registration, procedural rules, forms, copyright society","Procedural rules for copyright protection and registration",Secondary Legislation - National,Copyright Rules 2013,Supersedes 1958 Rules; current procedural framework
NAT-DS-001,"The Designs Act, 2000 (Act No. 16 of 2000)",Act,"Ministry of Law and Justice (India Code)",India,National,Designs,Industrial Design Protection,A,2000-05-25,2000-05-25,2000,Consolidated,CURRENT,English,PDF,https://www.indiacode.nic.in/handle/123456789/1917,https://www.indiacode.nic.in/bitstream/123456789/1917/1/200016.pdf,https://www.indiacode.nic.in/handle/123456789/1917,null,false,null,null,NAT-DS-002,"Design protection, industrial design, product shape, packaging design","Enables design protection for AYUSH product packaging, bottle shapes, and distinctive visual elements",Primary Legislation - National,Act 16 of 2000,Core design legislation; relevant for protecting distinctive product shapes and packaging
NAT-DS-002,The Designs Rules 2001,Rules,IP India,India,National,Designs,Design Registration Procedure,A,2001-05-11,2001-05-11,2001,2001 Edition,CURRENT,English,PDF,https://ipindia.gov.in/pages/trade-marks/publications/designs-rules-chapter,https://ipindia.gov.in/storage/uploads/docs-operator/14723e1d-89b9-4c48-a3f4-56e6d4ce22e8.pdf,https://ipindia.gov.in/pages/trade-marks/publications/designs-rules-chapter,null,false,null,null,NAT-DS-001,"Design rules, procedural rules, forms, fees, design registration",Procedural rules for design registration and protection,Secondary Legislation - National,Designs Rules 2001,Updated periodically; current procedural framework
NAT-PV-001,"The Protection of Plant Varieties and Farmers' Rights Act, 2001 (Act No. 53 of 2001)",Act,"Ministry of Law and Justice (India Code)",India,National,Plant Variety Protection,Plant Variety and Farmers' Rights,A,2001-10-30,2001-10-30,2021,Consolidated (amended up to Act 33 of 2021),AMENDED,English,PDF,https://www.indiacode.nic.in/handle/123456789/1909,https://www.indiacode.nic.in/bitstream/123456789/1909/1/A2001-53.pdf,https://www.indiacode.nic.in/handle/123456789/1909,null,false,null,null,NAT-PV-002,"Plant variety protection, PVP, farmers' rights, medicinal plants, new varieties","Relevant for protecting new plant varieties used in AYUSH formulations; protects farmers' rights and traditional variety use",Primary Legislation - National,Act 53 of 2001,Core PPVFR legislation; relevant for medicinal plant varieties and traditional germplasm
NAT-PV-002,PPVFR Rules (NOT VERIFIED),Rules,Protection of Plant Varieties and Farmers' Rights Authority,India,National,Plant Variety Protection,PPVFR Procedure,D,null,null,null,null,UNKNOWN,English,PDF,https://plantauthority.gov.in/,null,https://plantauthority.gov.in/,null,false,null,null,NAT-PV-001,"PPVFR rules, plant variety, farmers' rights, procedural rules","Procedural rules for PPVFR registration; status verification required",Secondary Legislation - Proposed/Pending,PPVFR Rules,"VERIFICATION REQUIRED: Rules PDF not available; only registry link at plantauthority.gov.in confirmed; need to locate and verify official published rules document"
NAT-CP-001,"The Consumer Protection Act, 2019 (Act No. 35 of 2019)",Act,"Ministry of Law and Justice (India Code)",India,National,Consumer Protection / Advertising,Consumer Rights and Misleading Advertising,A,2019,2019,2019,Consolidated,CURRENT,English,PDF,https://consumeraffairs.gov.in/pages/consumer-protection-acts,https://upload.indiacode.nic.in/showfile?actid=AC_UK_89_1171_00002_00002_1630393876767&type=actfile&filename=a2019-35.pdf,https://consumeraffairs.gov.in/pages/consumer-protection-acts,null,false,null,null,NAT-CP-002,"Consumer Protection, misleading advertisement, Section 2(28), Section 21, penalties, health claims","CRITICAL: Section 2(28) defines misleading advertisement; Section 21 enables penalties; enforces compliance with advertising claims for AYUSH products",Primary Legislation - National,Act 35 of 2019,Core consumer protection legislation; critical for enforcing advertising standards for AYUSH products
NAT-CP-002,Guidelines for Prevention of Misleading Advertisements and Endorsements (2022),Guidelines,Central Consumer Protection Authority,India,National,Consumer Protection / Advertising,Advertising Standards and Compliance,B,2022-06-09,2022-06-09,2022,2022 Edition,CURRENT,English,PDF,https://faolex.fao.org/docs/pdf/IND231196.pdf,https://faolex.fao.org/docs/pdf/IND231196.pdf,https://faolex.fao.org/docs/pdf/IND231196.pdf,null,true,null,null,NAT-CP-001,"Misleading advertisements, CCPA guidelines, endorsements, health claims, advertising standards","Implements Consumer Protection Act 2019; specifies advertising standards and claim verification requirements for consumer products including AYUSH",Administrative Guidance - National Authority,CCPA Guidelines 2022,Verify official gazette publication; FAO-LEX mirror used here; specifies requirements for substantiating health claims
NAT-AY-001,General Guidelines for Drug Development of Ayurvedic Formulations,Guidelines,CCRAS / Ministry of AYUSH,India,National,AYUSH / Drug Development,AYUSH Drug Development and Clinical Evaluation,B,2018,2018,2024,2024 Version,CURRENT,English,PDF,https://ccras.nic.in/wp-content/uploads/2024/07/CCRAS_Guideline-of-Drug-Development.pdf,https://ccras.nic.in/wp-content/uploads/2024/07/CCRAS_Guideline-of-Drug-Development.pdf,https://ccras.nic.in/wp-content/uploads/2024/07/CCRAS_Guideline-of-Drug-Development.pdf,null,false,null,null,"NAT-DC-001, NAT-DC-002, NAT-AY-002","AYUSH drug development, clinical evaluation, safety testing, efficacy standards, Ayurvedic formulations","Non-binding guidance on drug development and clinical evaluation expectations; useful for understanding regulatory expectations for AYUSH formulations",Administrative Guidance - National Authority,CCRAS Guidelines 2024,Non-binding; provides roadmap for drug development; helps understand CDSCO expectations
NAT-AY-002,Ayurvedic Pharmacopoeia of India (API),Pharmacopoeia,Ministry of AYUSH,India,National,Pharmacopoeia / Standards,Ayurvedic Drug Standards and Quality,A,null,null,null,Multiple Editions (Volumes 1-10),CURRENT,English,PDF / Print,https://ayush.gov.in/,null,https://ayush.gov.in/,null,false,null,null,"NAT-AY-003, NAT-AY-004, NAT-DC-002","Ayurvedic Pharmacopoeia, API, standards, quality specifications, drug monographs, Ayurvedic drugs","CRITICAL: Official standards for Ayurvedic drugs; referenced in Drugs Rules Schedule I; defines quality specifications and standards for ASU drugs",Primary Standards - National Authority,Ayurvedic Pharmacopoeia of India (API),"VERIFICATION REQUIRED: Need to locate downloadable PDF links for individual volumes; multiple volumes published separately; essential reference for drug quality"
NAT-AY-003,Siddha Pharmacopoeia of India,Pharmacopoeia,Ministry of AYUSH,India,National,Pharmacopoeia / Standards,Siddha Drug Standards and Quality,A,null,null,null,Multiple Editions (Volumes),CURRENT,English,PDF / Print,https://ayush.gov.in/,null,https://ayush.gov.in/,null,false,null,null,"NAT-AY-002, NAT-AY-004","Siddha Pharmacopoeia, SPI, standards, quality specifications, Siddha drugs","Official standards for Siddha drugs; defines quality specifications and standards for Siddha formulations",Primary Standards - National Authority,Siddha Pharmacopoeia of India (SPI),VERIFICATION REQUIRED: Need to locate downloadable PDF links; multiple volumes published separately; parallel to API for Siddha system
NAT-AY-004,Unani Pharmacopoeia of India,Pharmacopoeia,Ministry of AYUSH,India,National,Pharmacopoeia / Standards,Unani Drug Standards and Quality,A,null,null,null,Multiple Editions (Volumes),CURRENT,English,PDF / Print,https://ayush.gov.in/,null,https://ayush.gov.in/,null,false,null,null,"NAT-AY-002, NAT-AY-003","Unani Pharmacopoeia, UPI, standards, quality specifications, Unani drugs","Official standards for Unani drugs; defines quality specifications and standards for Unani formulations",Primary Standards - National Authority,Unani Pharmacopoeia of India (UPI),VERIFICATION REQUIRED: Need to locate downloadable PDF links; multiple volumes published separately; parallel to API for Unani system
